OBJECTID,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ICAO_ID
11936,39,46,24.6,N,39.7735,84,10,11.4,W,-84.16983333,
11937,41,20,15,N,41.3375,84,25,43.7,W,-84.42880555,KDFI
11938,41,17,53.53,N,41.29820277,84,22,38.45,W,-84.37734722,
11939,40,16,46.3517,N,40.27954213,83,6,48.181,W,-83.11338361,KDLZ
11940,40,21,10.219,N,40.35283861,83,3,3.672,W,-83.05102,
11941,40,18,21.82,N,40.30606111,83,5,26.19,W,-83.09060833,
11942,40,47,5.4877,N,40.78485769,84,22,3.784,W,-84.36771777,
11943,40,25,20,N,40.42222222,81,19,5,W,-81.31805555,
11944,40,24,9.24,N,40.40256666,81,20,14.41,W,-81.33733611,
11945,39,47,43.22,N,39.79533888,83,13,23.68,W,-83.22324444,
11946,41,12,55.6,N,41.21544444,83,52,15.13,W,-83.87086944,
11947,39,55,54.48,N,39.9318,83,54,27,W,-83.9075,
11948,41,40,5.198,N,41.66811055,80,41,8.286,W,-80.685635,
11949,40,30,56.5675,N,40.51571319,81,27,21.449,W,-81.45595805,
11950,40,4,3.6654,N,40.06768483,83,7,4.8036,W,-83.118001,
11951,40,44,9.214,N,40.73589277,81,14,48.39,W,-81.246775,
11952,40,18,31.201,N,40.30866694,83,36,54.745,W,-83.61520694,
11953,40,18,29.205,N,40.3081125,83,32,30.237,W,-83.5417325,
11954,40,40,23.9,N,40.67330555,80,38,29.1,W,-80.64141666,
11955,40,37,19.289,N,40.62202472,80,35,8.282,W,-80.58563388,
11956,40,51,31.222,N,40.85867277,80,32,7.248,W,-80.53534666,
11957,39,46,0.23,N,39.76673055,84,38,53.475,W,-84.6481875,
11958,41,27,15.184,N,41.45421777,83,15,54.727,W,-83.26520194,
11959,41,30,56.182,N,41.51560611,83,18,20.732,W,-83.30575888,
11960,41,22,0.08,N,41.36668888,82,5,51.37,W,-82.09760277,
11961,41,19,53.5,N,41.33152777,82,6,0.9,W,-82.10025,
